CustomerKey,GeographyKey,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,Age,BikeBuyer
11000,26,M,M,90000,2,0,Bachelors,Professional,1,0,1-2 Miles,Pacific,49,1
11001,37,S,M,60000,3,3,Bachelors,Professional,0,1,0-1 Miles,Pacific,50,1
11002,31,M,M,60000,3,3,Bachelors,Professional,1,1,2-5 Miles,Pacific,50,1
11003,11,S,F,70000,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,47,1
11004,19,S,F,80000,5,5,Bachelors,Professional,1,4,1-2 Miles,Pacific,47,1
11005,22,S,M,70000,0,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,50,1
11006,8,S,F,70000,0,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,49,1
11007,40,M,M,60000,3,3,Bachelors,Professional,1,2,0-1 Miles,Pacific,51,1
11008,32,S,F,60000,4,4,Bachelors,Professional,1,3,10+ Miles,Pacific,51,1
11009,25,S,M,70000,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,51,1
11010,22,S,F,70000,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,51,1
11011,22,M,M,60000,4,4,Bachelors,Professional,1,4,10+ Miles,Pacific,51,1
11012,611,M,F,100000,2,0,Bachelors,Management,1,2,1-2 Miles,North America,47,0
11013,543,M,M,100000,2,0,Bachelors,Management,1,3,0-1 Miles,North America,47,0
11014,634,S,F,100000,3,0,Bachelors,Management,0,3,1-2 Miles,North America,47,0
11015,301,S,F,30000,0,0,Partial College,Skilled Manual,0,1,5-10 Miles,North America,36,1
11016,329,M,M,30000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,36,1
11017,39,S,F,20000,4,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,71,1
11018,32,S,M,30000,2,0,Partial College,Clerical,1,2,5-10 Miles,Pacific,70,1
11019,52,S,M,40000,0,0,High School,Skilled Manual,0,2,5-10 Miles,North America,37,0
11020,53,S,M,40000,0,0,High School,Skilled Manual,0,2,1-2 Miles,North America,36,1
11021,536,S,F,40000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,37,1
11022,609,M,M,40000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,36,1
11023,298,M,M,40000,0,0,Partial College,Skilled Manual,1,1,1-2 Miles,North America,36,0
11024,311,M,M,60000,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,36,0
11025,24,M,M,10000,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,69,1
11026,4,S,M,30000,2,0,Partial College,Clerical,0,2,1-2 Miles,Pacific,69,1
11027,40,M,M,30000,2,0,Partial College,Clerical,1,2,5-10 Miles,Pacific,68,1
11028,17,M,F,30000,2,0,Partial College,Clerical,1,2,1-2 Miles,Pacific,69,1
11029,32,M,M,30000,2,0,Partial College,Clerical,1,2,1-2 Miles,Pacific,68,1
11030,28,M,F,10000,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,68,1
11031,8,M,F,20000,4,0,High School,Skilled Manual,1,2,1-2 Miles,Pacific,68,1
11032,35,M,F,20000,4,0,High School,Skilled Manual,1,2,1-2 Miles,Pacific,68,1
11033,9,M,M,20000,4,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,67,1
11034,12,M,F,20000,4,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,68,1
11035,33,M,F,10000,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,67,1
11036,343,M,F,60000,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,North America,36,1
11037,49,S,F,40000,0,0,Partial High School,Clerical,0,2,5-10 Miles,North America,37,1
11038,6,M,F,10000,2,1,Partial High School,Clerical,1,2,5-10 Miles,Pacific,67,1
11039,19,M,M,30000,3,0,Partial College,Clerical,1,2,5-10 Miles,Pacific,66,1
11040,642,M,M,30000,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,North America,38,1
11041,325,M,F,60000,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,North America,37,1
11042,338,M,F,70000,0,0,Partial College,Skilled Manual,1,2,0-1 Miles,North America,38,1
11043,325,M,M,60000,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,39,0
11044,25,M,M,20000,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,66,1
11045,8,S,M,30000,3,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,65,0
11046,6,M,F,30000,3,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,65,1
11047,34,M,F,30000,3,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,65,1
11048,39,M,M,30000,3,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,64,1
11049,307,S,F,40000,0,0,Partial High School,Clerical,1,2,5-10 Miles,North America,35,0
11050,31,M,M,30000,3,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,64,1
11051,21,S,M,30000,3,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,64,0
11052,8,S,F,40000,2,0,Partial College,Clerical,0,2,5-10 Miles,Pacific,64,1
11053,359,M,F,60000,0,0,Partial College,Skilled Manual,0,2,1-2 Miles,North America,35,1
11054,34,M,F,40000,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,63,1
11055,22,M,M,40000,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,63,1
11056,10,M,F,40000,3,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,62,1
11057,5,M,M,70000,2,0,Graduate Degree,Management,1,2,1-2 Miles,Pacific,61,1
11058,29,M,M,80000,2,0,Partial College,Skilled Manual,1,2,1-2 Miles,Pacific,61,1
11059,27,S,F,80000,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,61,0
